"Type","Time","MeerkatID","Behavior","Neighbours <1m","UnID","Event type","Emmiter","Timing","Note"
"Scan","05/08/2019 12:00:45","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:01:04","H + RT","Foraging","","","","","",""
"Scan","05/08/2019 12:02:33","LS","Scrabling","","","","","",""
"Scan","05/08/2019 12:03:39","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 12:04:01","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:05:56","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:06:44","LS","Foraging","","","","","",""
"Event","05/08/2019 12:07:01","","","","","Sentinel","Ukn","Already stopped","sh MB tbl"
"Scan","05/08/2019 12:08:18","RT","Foraging","H + RT","","","","",""
"Scan","05/08/2019 12:08:44","H + RT","Foraging","LS + TBL","","","","",""
"Scan","05/08/2019 12:09:12","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:09:23","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:10:59","MB","Scanning","","","","","",""
"Scan","05/08/2019 12:11:36","LT","Scrabling","","","","","",""
"Event","05/08/2019 12:12:09","","","","","Alarm running","Ukn","Ponctual",""
"Scan","05/08/2019 12:12:56","RS + TBL","Scrabling","LT + TBL","","","","",""
"Scan","05/08/2019 12:14:42","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:15:16","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:15:29","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:15:39","H + RT","Scrabling","RS","","","","",""
"Scan","05/08/2019 12:15:51","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:16:12","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:16:17","H","Scrabling","RT","","","","",""
"Scan","05/08/2019 12:16:40","MB","Foraging","","","","","",""
"Scan","05/08/2019 12:17:13","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:17:18","H","Foraging","","","","","",""
"Scan","05/08/2019 12:17:25","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:18:56","RS + TBL","Running","H + MB","","","","",""
"Scan","05/08/2019 12:19:15","LT","Foraging","","","","","",""
"Event","05/08/2019 12:22:45","","","","","Sentinel","Ukn","Already started","tonks 50cm"
"Event","05/08/2019 12:23:14","","","","","Sentinel","Ukn","Stop","tonks"
"Scan","05/08/2019 12:23:57","RT","Running","","","","","",""
"Scan","05/08/2019 12:24:52","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:25:34","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:25:39","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:25:58","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 12:26:14","H","Foraging","RS + RT + TBL","","","","",""
"Scan","05/08/2019 12:26:23","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:27:35","LS","Foraging","","","","","",""
"Scan","05/08/2019 12:27:47","LT","Foraging","H + LT","","","","",""
"Scan","05/08/2019 12:28:12","LS","Scanning","","","","","",""
"Scan","05/08/2019 12:29:19","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:29:39","MB","Eating","RT","","","","",""
"Scan","05/08/2019 12:29:49","RT","Scrabling","MB","","","","",""
"Scan","05/08/2019 12:30:10","H + RT","Eating","","","","","",""
"Scan","05/08/2019 12:31:12","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 12:32:49","LT","Scrabling","","","","","",""
"Scan","05/08/2019 12:33:43","H","Foraging","","","","","",""
"Scan","05/08/2019 12:34:31","MB","Running","","","","","",""
"Scan","05/08/2019 12:35:25","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:35:41","RT","Scanning","RS + RT + TBL","","","","",""
"Scan","05/08/2019 12:36:00","H + RT","Scrabling","MB + LT","","","","",""
"Scan","05/08/2019 12:36:25","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 12:37:07","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:37:18","RS","Eating","","","","","",""
"Scan","05/08/2019 12:37:48","RS + TBL","Eating","","","","","",""
"Scan","05/08/2019 12:37:57","RT","Running","","","","","",""
"Scan","05/08/2019 12:38:21","H + RT","Running","","","","","",""
"Scan","05/08/2019 12:38:31","RS","Running","MB + RS","","","","",""
"Scan","05/08/2019 12:39:30","H","Bipedal vig","H  + MB + TB","","","","",""
"Scan","05/08/2019 12:39:53","LT","Bipedal vig","","","","","",""
"Scan","05/08/2019 12:40:28","MB","Eating","","","","","",""
"Scan","05/08/2019 12:41:46","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:42:11","LS","Scrabling","","","","","",""
"Scan","05/08/2019 12:43:03","LT","Foraging","","","","","",""
"Scan","05/08/2019 12:43:21","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:44:18","H + RT","Running","","","","","",""
"Scan","05/08/2019 12:44:39","RT","Running","","","","","",""
"Scan","05/08/2019 12:45:01","RS","Scrabling","RS + RT + TBL","","","","",""
"Scan","05/08/2019 12:45:11","RT","Scrabling","MB + RS","","","","",""
"Scan","05/08/2019 12:45:18","RT","Scrabling","RS + RT + TBL","","","","",""
"Scan","05/08/2019 12:46:12","RS + TBL","Running","H + RT","","","","",""
"Scan","05/08/2019 12:46:22","H + RT","Scrabling","RS + TBL","","","","",""
"Scan","05/08/2019 12:46:34","RS + TBL","Foraging","","","","","",""
"Scan","05/08/2019 12:46:44","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:47:07","RS + TBL","Moving","","","","","",""
"Scan","05/08/2019 12:47:54","LT","Scrabling","H + LT","","","","",""
"Scan","05/08/2019 12:48:17","MB","Scrabling","","","","","",""
"Scan","05/08/2019 12:48:46","H + RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:48:52","LS","Scrabling","","","","","",""
"Scan","05/08/2019 12:49:07","RS + TBL","Moving","","","","","",""
"Scan","05/08/2019 12:49:23","H","Scrabling","LS + TBL","","","","",""
"Scan","05/08/2019 12:50:31","RT","Scrabling","","","","","",""
"Scan","05/08/2019 12:50:48","RS","Bipedal vig","","","","","",""
"Scan","05/08/2019 12:51:28","RS","Bipedal vig","","","","","",""
"Scan","05/08/2019 12:51:42","RT","Foraging","","","","","",""
"Scan","05/08/2019 12:52:24","H","Scrabling","","","","","",""
"Scan","05/08/2019 12:53:22","H + RT","Scanning","","","","","",""
"Scan","05/08/2019 12:53:58","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 12:54:58","MB","Foraging","","","","","",""
"Scan","05/08/2019 12:55:35","RS + TBL","Scrabling","","","","","",""
"Scan","05/08/2019 12:56:52","H + RT","Scanning","","","","","",""
"Scan","05/08/2019 12:57:50","H","Eating","","","","","",""
"Scan","05/08/2019 12:58:11","LS","Scanning","","","","","",""
"Scan","05/08/2019 12:59:02","RT","Foraging","","","","","",""
"Scan","05/08/2019 12:59:14","RS","Scrabling","","","","","",""
"Scan","05/08/2019 12:59:38","RT","Foraging","","","","","",""
"Scan","05/08/2019 12:59:45","RS","Scrabling","","","","","",""
"Scan","05/08/2019 13:00:17","LT","Scrabling","","","","","",""
